鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段與中山路口,16.32,住,,,1150304,土地1建物1車位2,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.92,4,2,2,有,無,28930000,191803,坡道平面,52.9,3800000,,RPTNMLPLLHLGFBF48CB,長耀會,C5棟09F號,
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段與中山路口,27.78,住,,,1150304,土地1建物1車位2,五層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,276.74,4,2,5,有,無,44820000,179682,坡道平面,52.9,4600000,,RPUNMLPLLHLGFBF58CB,長耀會,B2棟05F號,
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段與中山路口,19.19,住,,,1150308,土地1建物1車位2,七層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,207.53,3,2,3,有,無,32290000,184246,坡道平面,52.9,3800000,,RPVNMLPLLHLGFBF68CB,長耀會,B5棟07F號,
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段與中山路口,16.24,住,,,1150304,土地1建物1車位1,四層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.82,4,2,2,有,無,28080000,195444,坡道平面,26.45,2600000,,RPWNMLPLLHLGFBF78CB,長耀會,D5棟04F號,
五股區,房地(土地+建物),新北市五股區芳洲路,25.61,住,,,1150305,土地1建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.36,3,2,2,有,無,14700000,170218,,0.0,0,交易總價含下列非屬預售屋價格之費用:家電費,RPPNMLQLLHLGFBF18CB,四季禾禾,A2棟8F號,
五股區,房地(土地+建物)+車位,新北市五股區芳洲路,19.71,住,,,1150308,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.92,2,2,1,有,無,13600000,163207,坡道平面,31.44,2750000,交易總價含下列非屬預售屋價格之費用:家電費,RPQNMLQLLHLGFBF28CB,四季禾禾,A5棟3F號,
五股區,房地(土地+建物),新北市五股區成泰路三段,16.18,住,,,1150309,土地1建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,87.65,3,2,2,有,無,14590000,166458,,0.0,0,交易總價含下列非屬預售屋價格之費用:家電費,RPOOMLQLLHLGFBF18CB,芳洲PARK,A01棟03F號,
林口區,房地(土地+建物)+車位,新北市林口區文林街與福林路52巷交叉口,31.74,住,,,1150302,土地2建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,141.08,3,2,2,有,無,20550000,165158,坡道平面,30.58,2300000,,RPPOMLQLLHLGFBF28CB,原昕吾旭,A6棟6F號,
淡水區,房地(土地+建物),新北市淡水區民族路165、167、169號,18.99,住,,,1150301,土地2建物1車位0,三層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.47,2,2,2,有,無,13600000,139530,,0.0,0,,RPPNMLQLLHLGFEF48CB,藝沐汀,A棟3號,
三重區,房地(土地+建物),新北市三重區五谷王北街與五谷王北街58巷交叉口,18.47,住,,,1150307,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,93.1,2,1,2,有,無,23550000,252954,,0.0,0,,RPQNMLQLLHLGFGF78CB,印象左岸,A棟A6-1F號,
三重區,房地(土地+建物)+車位,新北市三重區五谷王北街與五谷王北街58巷交叉口,16.64,住,,,1150307,土地1建物1車位1,一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.26,2,1,2,有,無,25050000,262813,坡道平面,33.36,3000000,,RPRNMLQLLHLGFGF88CB,印象左岸,A棟A7-1F號,
